Kanji,Heisig Keyword,English Meaning,stroke count,Heisig RTK Index,RTK2 Index,2k1KO Index,Opt Vocab Sort Index,Kanji Learner Course Index,KanKen (Jun1=1.5) (Jun2=2.5),Freq.,Number (KANJIDIC),JIS,Kana,Joyo ON (* = not common),Joyo On (Kanji),Joyo On (Kana),Joyo Kun (Kanji),Joyo Kun (Kana),Primitive look-up data.,Japan Primitive Look-up,Joyo Kun (* = not common),All Kana,2k1KO Book
搾,squeeze,squeeze ,13,1324,694,1865,1865,1415,3,2030,1021,3A71,サク    しぼ.る    ,サク,"[搾取, 圧搾]","[さくしゅ, あっさく]",搾る,しぼ.る,",squeeze,finger,fingers,tight,hole,house,human legs,saw,",",hitoashi,hitoasi,ukanmuri,te,tehen,ana,",しぼ-る,サク    しぼ.る    ,4 2k1KO
拙,bungling,"bungling, clumsy, unskillful ",8,769,2211,1866,1866,1833,2.5,1755,1563,405B,セツ    つたな.い    ,セツ,"[拙劣, 拙速, 巧拙]","[せつれつ, せっそく, こうせつ]",,,",bungling,finger,fingers,exit,",",te,tehen,",,セツ    つたな.い    ,4 2k1KO
抄,extract,"extract, selection, summary, copy, spread thin ",7,647,1409,1867,1867,1744,2.5,2127,1338,3E36,ショウ    ,ショウ,"[抄録, 抄本, 抄訳]","[しょうろく, しょうほん, しょうやく]",,,",extract,finger,fingers,few,",",te,tehen,",,ショウ    Name Readings:  さ    り    ,4 2k1KO
抹,rub,"rub, paint, erase ",8,644,286,1868,1868,1954,2.5,1952,2623,4B75,マツ    ,マツ,"[抹殺, 抹消, 一抹]","[まっさつ, まっしょう, いちまつ]",,,",rub,finger,fingers,extremity,one,tree,wood,",",ichi,iti,te,tehen,ki,moku,",,マツ    ,4 2k1KO
扶,aid,"aid, help, assist ",7,839,825,1869,1869,1953,2.5,1877,2412,495E,フ    たす.ける    ,フ,"[扶助, 扶養, 扶育]","[ふじょ, ふよう, ふいく]",,,",aid,finger,fingers,husband,",",te,tehen,",,フ    たす.ける    ,4 2k1KO
拷,torture,"torture, beat ",9,1255,1994,1870,1870,1956,2.5,2151,919,3969,ゴウ    ,ゴウ,[拷問],[ごうもん],,,",torture,finger,fingers,consider,old man,slingshot,catapult,",",te,tehen,oikanmuri,",,ゴウ    ,4 2k1KO
揚,hoist,"hoist, fry in deep fat ",12,664,1371,1871,1871,1308,3,1253,2766,4D48,ヨウ    あ.げる    -あ.げ    あ.がる    ,ヨウ,"[意気揚々, 抑揚, 掲揚]","[いきよう, よくよう, けいよう]",揚がる; 揚げる,あ.がる; あ.げる,",hoist,finger,fingers,piggy bank,sun,day,piglets,",",te,tehen,nichi,jitsu,",あ-げる、あ-がる,ヨウ    あ.げる    -あ.げ    あ.がる    Name Readings:  あがり    ,4 2k1KO
摂,vicarious,"vicarious, surrogate, act in addition to ",13,1739,2242,1872,1872,1235,3,1831,1565,405D,セツ    ショウ    おさ.める    かね.る    と.る    ,セツ,"[摂取, 摂生]","[せっしゅ, せっせい]",,,",vicarious,finger,fingers,ear,sparkler,",",te,tehen,mimi,",,セツ    ショウ    おさ.める    かね.る    と.る    Name Readings:  せっ    ,4 2k1KO
搭,board,"board, load (a vehicle), ride ",12,646,537,1873,1873,1960,2.5,1667,2049,456B,トウ    ,トウ,"[搭載, 搭乗, 搭乗券]","[とうさい, とうじょう, とうじょうけん]",,,",board,finger,fingers,flowers,fit,meeting,umbrella,one,mouth,",",ichi,iti,kuchi,kuti,te,tehen,kusa,",,トウ    ,4 2k1KO
塔,pagoda,"pagoda, tower, steeple ",12,254,536,1874,1874,1959,4,1596,2041,4563,トウ    ,トウ,"[五重の塔, 石塔]","[ごじゅうのとう, いしとう]",,,",pagoda,soil,dirt,ground,flowers,fit,meeting,umbrella,one,mouth,",",ichi,iti,kuchi,kuti,tsuchi,tuti,kusa,",,トウ    ,4 2k1KO
