Kanji,Heisig Keyword,English Meaning,stroke count,Heisig RTK Index,RTK2 Index,2k1KO Index,Opt Vocab Sort Index,Kanji Learner Course Index,KanKen (Jun1=1.5) (Jun2=2.5),Freq.,Number (KANJIDIC),JIS,Kana,Joyo ON (* = not common),Joyo On (Kanji),Joyo On (Kana),Joyo Kun (Kanji),Joyo Kun (Kana),Primitive look-up data.,Japan Primitive Look-up,Joyo Kun (* = not common),All Kana,2k1KO Book
石,stone,stone ,5,113,1732,66,66,403,10,322,1552,4050,セキ    シャク    コク    いし    ,セキ、シャク*、コク*,"[石材, 岩石, 宝石];  [磁石];  [石高, 千石船]","[せきざい, がんせき, ほうせき]; [じしゃく]; [いしたか, せんごくふね]",石,いし,",stone,cliff,mouth,",",gandare,kuchi,kuti,ishi,",いし,セキ    シャク    コク    いし    Name Readings:  いさ    いす    いわ    し    せっく    と    ,1 2k1KO
田,rice field,"rice field, rice paddy ",5,14,1862,67,67,20,10,46,2010,4544,デン    た    ,デン,"[田地, 水田, 油田]","[たち, すいでん, ゆでん]",田,た,",rice field,brains,",",den,ta,",た,デン    た    Name Readings:  いなか    おか    たん    で    とう    や    ,1 2k1KO
花,flower,flower ,7,1009,111,68,68,121,10,443,242,3256,カ    ケ    はな    ,カ,"[花弁, 花壇, 落花]","[かべん, かだん, らっか]",花,はな,",flowers,change,person,spoon,sitting on the ground,",",hito,ninben,saji,kusa,",はな,カ    ケ    はな    Name Readings:  わ    ,1 2k1KO
林,grove,"grove, forest ",8,196,1674,69,69,240,10,554,2871,4E53,リン    はやし    ,リン,"[林業, 林立, 山林]","[りんぎょう, りんりつ, さんりん]",林,はやし,",grove,tree,wood,tree2,wood2,",",ki,moku,",はやし,リン    はやし    Name Readings:  し    ,1 2k1KO
森,forest,"forest, woods ",12,197,1674,70,70,241,10,502,1435,3F39,シン    もり    ,シン,"[森林, 森閑, 森厳]","[しんりん, しんかん, もりげん]",森,もり,",forest,tree,wood,tree3,wood3,",",ki,moku,",もり,シン    もり    Name Readings:  もと    ,1 2k1KO
男,male,male ,7,859,950,71,71,92,10,201,1829,434B,ダン    ナン    おとこ    お    ,ダン、ナン,"[男子, 男女, 男性];  [長男, 美男, 善男善女]","[だんし, だんじょ, だんせい]; [ちょうなん, びなん, ぜんなんぜんにょ]",男,おとこ,",male,rice field,brains,power,muscle,arnold,",",chikara,tikara,den,ta,",おとこ,ダン    ナン    おとこ    お    Name Readings:  み    ,1 2k1KO
女,woman,"woman, female ",3,98,3,72,72,93,10,125,1309,3D77,ジョ    ニョ    ニョウ    おんな    め    ,ジョ、ニョ、ニョウ*,"[女子, 女流, 少女];  [女人, 天女, 善男善女];  [女房]","[じょし, じょりゅう, しょうじょ]; [にょにん, てんにょ, ぜんなんぜんにょ]; [にょうぼう]",女; 女,おんな; め,",woman,",",onna,",おんな、め,ジョ    ニョ    ニョウ    おんな    め    Name Readings:  おな    た    つき    な    ,1 2k1KO
子,child,"child, sign of the rat, 11PM-1AM, first sign of Chinese zodiac ",3,95,1077,73,73,94,10,39,1084,3B52,シ    ス    ツ    こ    -こ    ね    ,シ、ス,"[子孫, 女子, 帽子];  [金子, 扇子, 様子]","[しそん, じょし, ぼうし]; [かねこ, せんす, ようす]",子,こ,",child,",",kohen,",こ,シ    ス    ツ    こ    -こ    ね    Name Readings:  い    き    ぎ    く    け    ねっ    ,1 2k1KO
供,submit,"submit, offer, present, serve (meal), accompany ",8,1796,1196,74,74,357,5,393,565,3621,キョウ    ク    クウ    グ    そな.える    とも    -ども    ,キョウ、ク*,"[供給, 提供, 自供];  [供物, 供養]","[きょうきゅう, ていきょう, じきょう]; [くもつ, くよう]",供える; 供,そな.える; とも,",submit,person,strung together,salad,animal legs,eight,",",hito,ninben,hachi,hati,",そな-える、とも,キョウ    ク    クウ    グ    そな.える    とも    -ども    ,1 2k1KO
好,fond,"fond, pleasing, like something ",6,99,1816,75,75,95,7,329,851,3925,コウ    この.む    す.く    よ.い    い.い    ,コウ,"[好意, 好敵手, 良好]","[こうい, こうてきしゅ, りょうこう]",好む; 好く,この.む; す.く,",fond,woman,child,",",onna,kohen,",この-む、す-く,コウ    この.む    す.く    よ.い    い.い    Name Readings:  こ    たか    とし    よし    ,1 2k1KO
私,private,"private, I, me ",7,902,1662,76,76,237,5,177,1102,3B64,シ    わたくし    わたし    ,シ,"[私立, 私腹, 公私]","[しりつ, しふく, こうし]",私,わたくし,",private,wheat,cereal,elbow,",",mu,nogi,",わたくし,シ    わたくし    わたし    ,1 2k1KO
友,friend,friend ,4,704,1774,77,77,399,9,501,2733,4D27,ユウ    とも    ,ユウ,"[友好, 友情, 親友]","[ゆうこう, ゆうじょう, しんゆう]",友,とも,",friend,by one’s side,crotch,",",mata,",とも,ユウ    とも    Name Readings:  う    ど    ゆ    ,1 2k1KO
達,accomplished,"accomplished, reach, arrive, attain ",11,552,572,78,78,1475,7,467,1789,4323,タツ    ダ    -たち    ,タツ,"[達人, 調達, 伝達]","[たつじん, ちょうたつ, でんたつ]",,,",accomplished,soil,dirt,ground,sheep,road,",",tsuchi,tuti,hitsuji,shinnyou,",,タツ    ダ    -たち    Name Readings:  かつ    さと    て    てつ    とおる    みち    ,1 2k1KO
家,house,"house, home ",10,541,281,79,79,219,9,94,228,3248,カ    ケ    いえ    や    うち    ,カ、ケ,"[家屋, 家庭, 作家];  [家来, 本家, 分家]","[かおく, かてい, さっか]; [けらい, ほんけ, ぶんけ]",家; 家,いえ; や,",house,sow,pig,",",ukanmuri,buta,inoko,",いえ、や,カ    ケ    いえ    や    うち    Name Readings:  あり    え    く    つか    べ    ,1 2k1KO
客,guest,"guest, visitor, customer, client ",9,294,1097,80,80,787,8,522,520,3552,キャク    カク    ,キャク、カク,"[客間, 客車, 乗客];  [客死, 主客, 旅客]","[きゃくま, きゃくしゃ, じょうきゃく]; [かくし, しゅかく, りょきゃく]",,,",guest,house,each,walking legs,mouth,",",kuchi,kuti,natsuashi,natuasi,ukanmuri,",,キャク    カク    ,1 2k1KO
元,beginning,"beginning, former time, origin ",4,59,298,81,81,136,9,209,773,3835,ゲン    ガン    もと    ,ゲン、ガン,"[元素, 元気, 多元];  [元祖, 元日, 元来]","[げんそ, げんき, たげん]; [がんそ, がんじつ, がんらい]",元,もと,",beginning,two,human legs,",",ni,hitoashi,hitoasi,",もと,ゲン    ガン    もと    Name Readings:  ちか    はじめ    はる    ゆき    よし    ,1 2k1KO
天,heavens,"heavens, sky, imperial ",4,428,54,82,82,270,10,391,1997,4537,テン    あまつ    あめ    あま-    ,テン,"[天地, 天然, 雨天]","[てんち, てんねん, うてん]",天,あめ,",heavens,heavens,one,ceiling,large,",",ichi,iti,",あめ、あま*,テン    あまつ    あめ    あま-    Name Readings:  あき    あも    た    たかし    て    なま    ,1 2k1KO
気,spirit,"spirit, mind ",6,1885,410,83,83,126,10,61,474,3524,キ    ケ    いき    ,キ、ケ,"[気体, 気候, 元気];  [気配, 気色ばむ, 火の気]","[きたい, きこう, げんき]; [けはい, きしょくばむ, ひのき]",,,",spirit,landed fish,reclining,lying down,one,floor,fishhook,sheaf,",",ichi,iti,otsu,otu,kigamae,",,キ    ケ    いき    ,1 2k1KO
雨,rain,rain ,8,422,1545,84,84,154,10,804,105,312B,ウ    あめ    あま-    -さめ    ,ウ,"[雨量, 降雨, 梅雨]","[うりょう, こうう, つゆ]",雨; 雨,あま; あめ,",rain,rain,weather,",",ame,",あめ、あま,ウ    あめ    あま-    -さめ    ,1 2k1KO
雪,snow,snow ,11,1143,2201,85,85,899,9,874,1571,4063,セツ    ゆき    ,セツ,"[雪辱, 降雪, 積雪]","[せつじょく, こうせつ, せきせつ]",雪,ゆき,",snow,rain,weather,broom,",",keigashira,keigasira,ame,",ゆき,セツ    ゆき    Name Readings:  せっ    ぶき    ,1 2k1KO
青,blue,"blue, green ",8,1534,78,86,86,130,10,498,1540,4044,セイ    ショウ    あお    あお-    あお.い    ,セイ、ショウ*,"[青天, 青銅, 青年];  [緑青, 紺青, 群青]","[せいてん, せいどう, せいねん]; [みどりあお, こんじょう, ぐんじょう]",青; 青い,あお; あお.い,",blue,grow up,moon,flesh,",",tsuki,getsu,ao,",あお、あお-い,セイ    ショウ    あお    あお-    あお.い    Name Readings:  お    ,1 2k1KO
晴,clear up,clear up ,12,1538,81,87,87,975,9,904,1522,4032,セイ    は.れる    は.れ    は.れ-    -ば.れ    は.らす    ,セイ,"[晴天, 晴雨, 快晴]","[せいてん, せいう, かいせい]",晴らす; 晴れる,は.らす; は.れる,",clear up,sun,day,blue,grow up,moon,flesh,",",nichi,jitsu,tsuki,getsu,ao,",は-れる、は-らす,セイ    は.れる    は.れ    は.れ-    -ば.れ    は.らす    Name Readings:  はる    はれ    ,1 2k1KO
明,bright,"bright, light ",8,20,436,88,88,24,9,64,2664,4C40,メイ    ミョウ    ミン    あ.かり    あか.るい    あか.るむ    あか.らむ    あき.らか    あ.ける    -あ.け    あ.く    あ.くる    あ.かす    ,メイ、ミョウ,"[明暗, 説明, 鮮明];  [明日, 光明, 灯明]","[めいあん, せつめい, せんめい]; [あした, こうみょう, とうみょう]",明かす; 明かり; 明く; 明くる; 明ける; 明らむ; 明るい; 明るむ; 明らか,あ.かす; あ.かり; あ.く; あ.くる; あ.ける; あか.らむ; あか.るい; あか.るむ; あき.らか,",bright,sun,day,moon,month,flesh,part of the body,",",nichi,jitsu,tsuki,getsu,",あ-かり、あか-るい、あか-るむ、あか-らむ、あき-らか、あ-ける、あ-く、あ-くる、あ-かす,メイ    ミョウ    ミン    あ.かり    あか.るい    あか.るむ    あか.らむ    あき.らか    あ.ける    -あ.け    あ.く    あ.くる    あ.かす    Name Readings:  あきら    あけ    あす    きら    け    さや    さやか    とし    はる    み    め    ,1 2k1KO
暗,darkness,"darkness, disappear, shade, informal, grow dark, be blinded ",13,480,1301,89,89,1593,8,980,37,3045,アン    くら.い    ,アン,"[暗示, 暗愚, 明暗]","[あんじ, あんぐ, めいあん]",暗い,くら.い,",darkness,sun,day,sound,vase,stand up,sun,day,sun2,day2,",",nichi,jitsu,tatsu,oto,",くら-い,アン    くら.い    ,1 2k1KO
昨,yesterday,"yesterday, previous ",9,1140,692,90,90,153,7,321,1022,3A72,サク    ,サク,"[昨日, 昨年, 一昨日]","[きのう, さくねん, いっさくじつ]",,,",yesterday,sun,day,saw,",",nichi,jitsu,",,サク    ,1 2k1KO
東,east,east ,8,504,937,91,91,32,9,52,2050,456C,トウ    ひがし    ,トウ,"[東西, 東国, 以東]","[とうざい, ひがしくに, いとう]",東,ひがし,",east,sun,day,tree,wood,",",nichi,jitsu,ki,moku,",ひがし,トウ    ひがし    Name Readings:  あい    あがり    あずま    あづま    こ    さき    しの    とお    はる    ひが    もと    ,1 2k1KO
西,west,"west, Spain ",6,1602,1047,92,92,795,9,225,1534,403E,セイ    サイ    ス    にし    ,セイ、サイ,"[西暦, 西部, 北西];  [西国, 東西]","[せいれき, せいぶ, ほくせい]; [にしこく, とうざい]",西,にし,",west,one,four,",",ichi,iti,nishi,",にし,セイ    サイ    ス    にし    Name Readings:  いり    ひし    むら    ,1 2k1KO
南,south,south ,9,1613,1842,93,93,794,9,287,2146,466E,ナン    ナ    みなみ    ,ナン、ナ*,"[南北, 南端, 指南];  [南無]","[なんぼく, なんたん, しなん]; [なむ]",南,みなみ,",south,ten,needle,belt,happiness,ten,needle,stand up,vase,ten2,needle2,",",juu,tatsu,",みなみ,ナン    ナ    みなみ    Name Readings:  なみ    は    みな    みまみ    ,1 2k1KO
北,north,north ,5,445,549,94,94,122,9,186,2582,4B4C,ホク    きた    ,ホク,"[北進, 北方, 敗北]","[きたすすむ, ほっぽう, はいぼく]",北,きた,",north,spoon,sitting on the ground,",",saji,",きた,ホク    きた    Name Readings:  きら    ほう    ほっ    ほつ    ,1 2k1KO
向,yonder,"yonder, facing, beyond, confront, defy, tend toward, approach ",6,183,1650,95,95,183,8,160,846,387E,コウ    む.く    む.い    -む.き    む.ける    -む.け    む.かう    む.かい    む.こう    む.こう-    むこ    むか.い    ,コウ,"[向上, 傾向, 趣向]","[こうじょう, けいこう, しゅこう]",向かう; 向く; 向ける; 向こう,む.かう; む.く; む.ける; む.こう,",yonder,alien,drop,helmet,hood,mouth,",",tenn,dougamae,kuchi,kuti,",む-く、む-ける、む-かう、む-こう,コウ    む.く    む.い    -む.き    む.ける    -む.け    む.かう    む.かい    む.こう    む.こう-    むこ    むか.い    Name Readings:  こお    た    な    むか    むかい    むこう    ,1 2k1KO
門,gates,gates ,8,1616,1051,96,96,447,9,427,2703,4C67,モン    かど    と    ,モン,"[門戸, 門下生, 専門]","[もんこ, もんかせい, せんもん]",門,かど,",gates,",",mon,kado,",かど,モン    かど    と    Name Readings:  じょう    も    ,1 2k1KO
開,open,"open, unfold, unseal ",12,1622,1594,97,97,450,8,50,293,332B,カイ    ひら.く    ひら.き    -びら.き    ひら.ける    あ.く    あ.ける    ,カイ,"[開始, 開拓, 展開]","[かいし, かいたく, てんかい]",開く; 開ける; 開く; 開ける,あ.く; あ.ける; ひら.く; ひら.ける,",open,gates,two hands,",",nijuuashi,nijuuasi,mon,kado,",ひら-く、ひら-ける、あ-く、あ-ける,カイ    ひら.く    ひら.き    -びら.き    ひら.ける    あ.く    あ.ける    Name Readings:  はる    か    ,1 2k1KO
閉,closed,"closed, shut ",11,1623,1519,98,98,449,5,981,2480,4A44,ヘイ    と.じる    と.ざす    し.める    し.まる    た.てる    ,ヘイ,"[閉店, 閉口, 密閉]","[へいてん, へいこう, みっぺい]",閉まる; 閉める; 閉ざす; 閉じる,し.まる; し.める; と.ざす; と.じる,",closed,gates,genie,",",mon,kado,",と-じる、と-ざす、し-める、し-まる,ヘイ    と.じる    と.ざす    し.める    し.まる    た.てる    Name Readings:  へ    ,1 2k1KO
聞,hear,"hear, ask, listen ",14,1626,1009,99,99,453,9,218,2469,4A39,ブン    モン    き.く    き.こえる    ,ブン、モン,"[新聞, 風聞, 見聞];  [聴聞, 前代未聞]","[しんぶん, ふうぶん, けんぶん]; [ちょうもん, ぜんだいみもん]",聞く; 聞こえる,き.く; き.こえる,",hear,gates,ear,",",mimi,mon,kado,",き-く、き-こえる,ブン    モン    き.く    き.こえる    ,1 2k1KO
間,interval,"interval, space ",12,1620,396,100,100,448,9,23,430,3456,カン    ケン    あいだ    ま    あい    ,カン、ケン,"[間隔, 中間, 時間];  [世間, 人間]","[かんかく, ちゅうかん, じかん]; [せけん, にんげん]",間; 間,あいだ; ま,",interval,gates,sun,day,",",nichi,jitsu,mon,kado,",あいだ、ま,カン    ケン    あいだ    ま    あい    ,1 2k1KO
高,tall,"tall, high, expensive ",10,307,414,101,101,185,9,49,912,3962,コウ    たか.い    たか    -だか    たか.まる    たか.める    ,コウ,"[高低, 高級, 最高]","[こうてい, こうきゅう, さいこう]",高; 高い; 高まる; 高める,たか; たか.い; たか.まる; たか.める,",tall,top hat,mouth,alien,hood,mouth,mouth2,",",nabebuta,dougamae,kuchi,kuti,taka,",たか-い、たか、たか-まる、たか-める,コウ    たか.い    たか    -だか    たか.まる    たか.める    Name Readings:  か    こ    じょい    た    はか    ,1 2k1KO
安,relax,"relax, cheap, low, quiet, rested, contented, peaceful ",6,190,52,102,102,96,8,152,34,3042,アン    やす.い    やす.まる    やす    やす.らか    ,アン,"[安全, 安価, 不安]","[あんぜん, あんか, ふあん]",安い,やす.い,",relax,house,woman,",",onna,ukanmuri,",やす-い,アン    やす.い    やす.まる    やす    やす.らか    Name Readings:  あ    あす    あず    あっ    や    ,1 2k1KO
低,lower,"lower, short, humble ",7,1831,153,103,103,479,7,489,1947,4463,テイ    ひく.い    ひく.める    ひく.まる    ,テイ,"[低級, 低気圧, 高低]","[ていきゅう, ていきあつ, こうてい]",低い; 低まる; 低める,ひく.い; ひく.まる; ひく.める,",lower,person,calling card,family name,one,floor,",",ichi,iti,hito,ninben,uji,",ひく-い、ひく-める、ひく-まる,テイ    ひく.い    ひく.める    ひく.まる    ,1 2k1KO
最,utmost,"utmost, most, extreme ",12,821,1468,104,104,196,7,77,979,3A47,サイ    シュ    もっと.も    つま    ,サイ,"[最大, 最近, 最先端]","[さいだい, さいきん, さいせんたん]",最も,もっと.も,",utmost,sun,day,take,ear,crotch,",",mata,nichi,jitsu,mimi,",もっと-も,サイ    シュ    もっと.も    つま    Name Readings:  も    ,1 2k1KO
